P01901859A0000|0 59|UDP-Gal:Gal beta 1----4GlcNAc alpha 1----3-galactosyltransferase
P02760922A0000|0 56|Heterogeneous nuclear ribonucleoprotein (hnRNP) core protein A1
P09028942A0000|0 50|Human granulocyte-macrophage colony-stimulating factor
P07629103T0000|0 48|CCAAT/enhancer-binding protein isoforms beta and delta
P08625900T0000|0 46|Pituitary adenylate cyclase-activating polypeptide
P09882303T0000|0 46|Epstein-Barr virus-encoded latent membrane protein 1
P07897696A0000|0 45|Erythrocyte delta-aminolevulinic acid dehydratase
P01542565T0000|0 44|Nuclear-encoded chloroplast ribosomal protein L12
P09268298T0000|0 44|Ent-kaurene synthase from the fungus Phaeosphaeria
P08631958T0000|0 44|Human cytomegalovirus immediate-early protein IE2
P08013457A0342|0 44|Src homology (SH) domain dependent protein-protein
P08072547A0690|0 43|Ras- and ultra-violet-responsive protein kinases
P10559303A0000|0 43|Epstein-Barr virus (EBV) latent membrane protein 1
P09013760A0000|0 42|Cholesterol side-chain cleavage cytochrome P450
P01448932T0000|0 41|Rice dwarf phytoreovirus segment S12 transcript
P09211913A0000|0 41|Aryl hydrocarbon receptor nuclear translocator
P10687855T0000|0 41|Mouse growth hormone transcription factor Zn-16
P07476963A0000|0 40|Peroxisome proliferator-activated receptors
P09723896A0000|0 40|Peroxisome proliferator-activated receptors
P07693708A0000|0 40|Insulin-like growth factor-binding protein-2
P09882337A0000|0 39|Varicella-zoster virus (VZV) glycoprotein gI
P10938102T0000|0 39|Eukaryotic translation initiation factor 4GI
P08163528T0000|0 38|Mitochondrial Mas70p signal anchor sequence
P09275159T0000|0 38|Heterogeneous nuclear ribonucleoprotein A1
P08464056A0000|0 37|Finger associated box-zinc finger proteins
P10779508T0000|0 37|Estrogen receptor-related receptor alpha 1
P07711730A0000|0 35|Carnitine palmitoyltransferase (CPT) II
P11278390A0632|0 35|Reverse transcriptase-polymerase chain
P10022880A0000|0 35|Mammalian Ras GTPase-activating protein
P09701616A0108|0 35|Reverse transcriptase-polymerase chain
P02142921T0000|0 34|Luteinizing hormone-releasing hormone
P11059777A0813|0 34|Terminal deoxynucleotidyl transferase
P10224293A0000|0 34|Receptor protein tyrosine phosphatases
P11422200A0000|0 34|Granulocyte colony-stimulating factor
P02223773A0000|0 34|Chick brain actin depolymerizing factor
P07494303A0000|0 33|Human immunodeficiency virus type 1 Vpr
P07745684T0000|0 33|Human papillomavirus type 31b late gene
P09579808A0000|0 33|UDP-GlcNAc:alpha-6-D-mannoside beta
